ID,Name,Age,Salary,Department,Gender,Years of Experience,Education Level,Performance Rating,Date of Hire,Job Title,Manager Name,Phone Number,Email Address,Address
322,Employee 322,46,70168.11,HR,Non-binary,15,Bachelor's,4.5,2015-09-22,Assistant HR,Emily Williams,189-209-1416,employee322@example.com,"890 Main St, Anytown, USA"
323,Employee 323,58,40060.69,Finance,Female,3,Bachelor's,3.0,2020-12-26,Director Finance,David Brown,184-145-9752,employee323@example.com,"101 Main St, Anytown, USA"
324,Employee 324,26,67090.22,Finance,Non-binary,9,Associate's,4.0,2023-08-14,Engineer Finance,Emily Williams,355-944-1890,employee324@example.com,"5678 Main St, Anytown, USA"
325,Employee 325,49,109119.87,HR,Male,25,Bachelor's,3.5,2020-01-20,Coordinator HR,Bob Johnson,396-503-7213,employee325@example.com,"789 Main St, Anytown, USA"
326,Employee 326,34,90429.95,Finance,Female,8,PhD,5.0,2020-01-20,Analyst Finance,Emily Williams,655-609-5306,employee326@example.com,"234 Main St, Anytown, USA"
327,Employee 327,51,77721.79,HR,Non-binary,25,High School,5.0,2023-04-23,Engineer HR,David Brown,274-574-1458,employee327@example.com,"5678 Main St, Anytown, USA"
328,Employee 328,54,76235.03,Engineering,Female,19,Bachelor's,4.5,2018-10-26,Analyst Engineering,Bob Johnson,369-850-2275,employee328@example.com,"234 Main St, Anytown, USA"
329,Employee 329,47,97936.32,HR,Non-binary,5,Master's,3.5,2023-11-18,Analyst HR,David Brown,557-270-5042,employee329@example.com,"456 Main St, Anytown, USA"
330,Employee 330,45,76113.72,HR,Male,26,Bachelor's,3.5,2018-03-24,Manager HR,Bob Johnson,512-439-2538,employee330@example.com,"1234 Main St, Anytown, USA"
331,Employee 331,40,94932.72,HR,Non-binary,2,PhD,4.0,2012-12-15,Assistant HR,David Brown,934-867-8586,employee331@example.com,"2345 Main St, Anytown, USA"
332,Employee 332,59,112371.74,Finance,Male,14,Master's,4.0,2018-03-26,Assistant Finance,Emily Williams,284-868-5345,employee332@example.com,"2345 Main St, Anytown, USA"
333,Employee 333,21,110888.97,Finance,Non-binary,9,PhD,3.5,2010-06-02,Assistant Finance,Emily Williams,150-353-5816,employee333@example.com,"234 Main St, Anytown, USA"
334,Employee 334,48,115290.41,Marketing,Male,16,High School,5.0,2013-11-07,Assistant Marketing,David Brown,695-403-2912,employee334@example.com,"5678 Main St, Anytown, USA"
335,Employee 335,49,77583.84,Sales,Male,18,PhD,5.0,2016-09-12,Coordinator Sales,David Brown,645-244-9978,employee335@example.com,"123 Main St, Anytown, USA"
336,Employee 336,48,47264.06,Sales,Female,13,Master's,5.0,2020-04-15,Analyst Sales,John Doe,405-355-8631,employee336@example.com,"5678 Main St, Anytown, USA"
337,Employee 337,24,56695.12,HR,Non-binary,12,Bachelor's,5.0,2016-12-05,Analyst HR,Bob Johnson,894-724-7414,employee337@example.com,"234 Main St, Anytown, USA"
338,Employee 338,61,90592.89,Engineering,Non-binary,27,Associate's,4.0,2013-11-01,Assistant Engineering,Bob Johnson,273-743-4332,employee338@example.com,"123 Main St, Anytown, USA"
339,Employee 339,35,78779.29,Finance,Non-binary,9,High School,4.5,2020-07-04,Analyst Finance,Bob Johnson,412-956-5743,employee339@example.com,"789 Main St, Anytown, USA"
340,Employee 340,42,43357.23,Sales,Non-binary,14,Master's,3.5,2022-05-08,Director Sales,John Doe,860-926-5851,employee340@example.com,"234 Main St, Anytown, USA"
341,Employee 341,35,108250.76,Marketing,Male,26,Bachelor's,3.0,2011-09-27,Director Marketing,John Doe,956-541-2305,employee341@example.com,"234 Main St, Anytown, USA"
342,Employee 342,35,45116.59,Finance,Non-binary,3,PhD,5.0,2021-04-26,Manager Finance,David Brown,105-728-1886,employee342@example.com,"567 Main St, Anytown, USA"
343,Employee 343,39,81913.78,Marketing,Non-binary,4,Master's,3.0,2022-07-02,Assistant Marketing,Bob Johnson,718-177-2878,employee343@example.com,"456 Main St, Anytown, USA"
344,Employee 344,58,66632.59,Engineering,Non-binary,27,PhD,3.5,2020-07-04,Analyst Engineering,Jane Smith,172-473-3494,employee344@example.com,"456 Main St, Anytown, USA"
345,Employee 345,28,59998.55,HR,Female,1,High School,4.5,2022-11-28,Coordinator HR,John Doe,753-487-6073,employee345@example.com,"123 Main St, Anytown, USA"
346,Employee 346,25,78064.39,Finance,Non-binary,1,High School,3.5,2010-12-06,Assistant Finance,Bob Johnson,162-111-7440,employee346@example.com,"101 Main St, Anytown, USA"
347,Employee 347,25,114872.85,Finance,Female,2,Associate's,4.5,2016-07-14,Director Finance,David Brown,430-230-5230,employee347@example.com,"456 Main St, Anytown, USA"
348,Employee 348,28,85378.37,Sales,Female,6,High School,3.0,2010-09-13,Director Sales,Emily Williams,764-442-5868,employee348@example.com,"901 Main St, Anytown, USA"
349,Employee 349,28,114234.41,Engineering,Male,19,Associate's,4.5,2023-01-23,Coordinator Engineering,Bob Johnson,565-255-2188,employee349@example.com,"456 Main St, Anytown, USA"
350,Employee 350,33,53806.3,Marketing,Non-binary,25,Associate's,4.0,2010-10-06,Coordinator Marketing,Bob Johnson,785-692-3834,employee350@example.com,"2345 Main St, Anytown, USA"
351,Employee 351,39,78633.88,Marketing,Male,29,Associate's,3.5,2023-10-06,Engineer Marketing,Emily Williams,893-158-7144,employee351@example.com,"2345 Main St, Anytown, USA"
352,Employee 352,61,91160.95,Finance,Male,24,Master's,4.5,2021-03-18,Director Finance,John Doe,854-546-8403,employee352@example.com,"567 Main St, Anytown, USA"
353,Employee 353,32,62162.16,HR,Non-binary,27,High School,4.0,2011-09-03,Assistant HR,John Doe,226-396-1027,employee353@example.com,"101 Main St, Anytown, USA"
354,Employee 354,33,98498.92,Sales,Female,7,PhD,5.0,2016-03-19,Engineer Sales,John Doe,667-327-6237,employee354@example.com,"789 Main St, Anytown, USA"
355,Employee 355,58,82259.21,HR,Female,22,Associate's,3.0,2013-01-09,Engineer HR,Emily Williams,297-458-8745,employee355@example.com,"1234 Main St, Anytown, USA"
356,Employee 356,37,50843.3,Sales,Non-binary,29,Associate's,5.0,2018-10-28,Manager Sales,John Doe,457-476-1885,employee356@example.com,"789 Main St, Anytown, USA"
357,Employee 357,48,114877.88,HR,Male,26,Master's,3.0,2022-11-12,Analyst HR,Bob Johnson,783-743-1211,employee357@example.com,"789 Main St, Anytown, USA"
358,Employee 358,57,43978.03,Marketing,Female,24,PhD,3.5,2019-09-07,Manager Marketing,John Doe,222-754-7721,employee358@example.com,"901 Main St, Anytown, USA"
359,Employee 359,49,48205.58,Engineering,Male,11,Associate's,5.0,2021-10-17,Engineer Engineering,Emily Williams,123-412-8404,employee359@example.com,"901 Main St, Anytown, USA"
360,Employee 360,24,52262.56,Engineering,Male,10,Associate's,4.0,2012-10-20,Coordinator Engineering,John Doe,368-635-6628,employee360@example.com,"890 Main St, Anytown, USA"
361,Employee 361,58,105778.64,Finance,Male,10,High School,5.0,2017-02-18,Director Finance,Jane Smith,450-928-2739,employee361@example.com,"1234 Main St, Anytown, USA"
362,Employee 362,49,48145.98,Marketing,Female,30,Master's,5.0,2016-01-06,Manager Marketing,Jane Smith,510-691-3179,employee362@example.com,"234 Main St, Anytown, USA"
363,Employee 363,53,92912.44,Marketing,Female,20,PhD,5.0,2012-07-27,Analyst Marketing,John Doe,686-422-8265,employee363@example.com,"456 Main St, Anytown, USA"
364,Employee 364,39,43985.6,HR,Male,16,High School,3.5,2015-07-26,Assistant HR,Emily Williams,378-769-8205,employee364@example.com,"234 Main St, Anytown, USA"
365,Employee 365,44,69335.83,Marketing,Non-binary,7,Associate's,3.0,2023-04-12,Director Marketing,John Doe,672-824-6920,employee365@example.com,"456 Main St, Anytown, USA"
366,Employee 366,43,56575.71,Sales,Non-binary,8,Associate's,3.5,2020-06-27,Engineer Sales,David Brown,225-428-1354,employee366@example.com,"789 Main St, Anytown, USA"
367,Employee 367,38,55537.05,Marketing,Male,15,Master's,3.0,2018-11-28,Engineer Marketing,Bob Johnson,515-226-2069,employee367@example.com,"567 Main St, Anytown, USA"
368,Employee 368,54,93703.0,HR,Female,14,Bachelor's,3.5,2016-02-27,Manager HR,David Brown,429-257-6392,employee368@example.com,"123 Main St, Anytown, USA"
369,Employee 369,27,46509.63,Marketing,Female,10,PhD,3.5,2010-07-25,Manager Marketing,Emily Williams,520-424-5702,employee369@example.com,"123 Main St, Anytown, USA"
370,Employee 370,39,91097.7,Finance,Male,11,Associate's,4.0,2020-08-08,Analyst Finance,Emily Williams,350-380-2992,employee370@example.com,"890 Main St, Anytown, USA"
371,Employee 371,56,116837.23,Marketing,Male,2,High School,4.0,2023-12-03,Director Marketing,John Doe,626-310-7117,employee371@example.com,"2345 Main St, Anytown, USA"
372,Employee 372,34,44896.42,Marketing,Non-binary,27,High School,3.0,2014-06-20,Manager Marketing,Emily Williams,499-245-3007,employee372@example.com,"567 Main St, Anytown, USA"
373,Employee 373,65,63867.31,Finance,Male,1,PhD,3.0,2015-02-01,Engineer Finance,David Brown,360-946-6827,employee373@example.com,"2345 Main St, Anytown, USA"
374,Employee 374,55,63850.81,Sales,Male,17,Bachelor's,4.5,2021-04-09,Engineer Sales,Jane Smith,761-714-8540,employee374@example.com,"123 Main St, Anytown, USA"
375,Employee 375,35,96039.45,Finance,Male,12,Associate's,5.0,2020-06-04,Director Finance,Bob Johnson,150-102-4837,employee375@example.com,"123 Main St, Anytown, USA"
376,Employee 376,60,110736.23,Marketing,Non-binary,22,High School,4.0,2022-08-28,Engineer Marketing,David Brown,154-951-2792,employee376@example.com,"678 Main St, Anytown, USA"
377,Employee 377,65,113309.04,Finance,Female,12,Bachelor's,5.0,2022-06-17,Engineer Finance,Jane Smith,492-310-6757,employee377@example.com,"890 Main St, Anytown, USA"
378,Employee 378,33,82166.41,Finance,Non-binary,5,PhD,5.0,2016-06-20,Analyst Finance,John Doe,770-462-6285,employee378@example.com,"789 Main St, Anytown, USA"
379,Employee 379,58,104307.46,HR,Male,9,Bachelor's,3.0,2017-09-06,Manager HR,Emily Williams,685-993-7908,employee379@example.com,"789 Main St, Anytown, USA"
380,Employee 380,32,111214.78,Marketing,Female,18,High School,4.5,2016-12-19,Coordinator Marketing,Bob Johnson,301-428-6475,employee380@example.com,"234 Main St, Anytown, USA"
381,Employee 381,25,45637.8,HR,Non-binary,13,Master's,4.0,2015-03-09,Assistant HR,John Doe,621-995-3915,employee381@example.com,"678 Main St, Anytown, USA"
382,Employee 382,40,66989.94,Marketing,Female,18,Bachelor's,3.0,2022-11-08,Analyst Marketing,John Doe,649-786-7927,employee382@example.com,"1234 Main St, Anytown, USA"
383,Employee 383,52,42525.36,Sales,Male,22,PhD,4.5,2012-02-23,Coordinator Sales,Emily Williams,481-342-7157,employee383@example.com,"890 Main St, Anytown, USA"
384,Employee 384,51,76253.58,Finance,Female,16,Master's,4.0,2016-07-22,Engineer Finance,Emily Williams,452-617-7250,employee384@example.com,"1234 Main St, Anytown, USA"
385,Employee 385,42,51560.8,Marketing,Male,14,PhD,5.0,2012-10-18,Engineer Marketing,John Doe,154-594-6418,employee385@example.com,"234 Main St, Anytown, USA"
386,Employee 386,62,83191.68,Finance,Female,10,PhD,5.0,2012-10-16,Director Finance,Jane Smith,387-612-8652,employee386@example.com,"901 Main St, Anytown, USA"
387,Employee 387,25,95033.11,Marketing,Male,9,Bachelor's,5.0,2018-06-23,Manager Marketing,David Brown,341-831-4858,employee387@example.com,"101 Main St, Anytown, USA"
388,Employee 388,28,107857.02,HR,Non-binary,7,Bachelor's,4.5,2012-09-02,Director HR,John Doe,920-932-1324,employee388@example.com,"456 Main St, Anytown, USA"
389,Employee 389,41,64654.01,Sales,Female,10,Associate's,5.0,2014-02-09,Analyst Sales,Emily Williams,453-150-5952,employee389@example.com,"2345 Main St, Anytown, USA"
390,Employee 390,21,99810.12,Engineering,Male,4,Master's,4.5,2022-10-23,Engineer Engineering,Jane Smith,458-328-6744,employee390@example.com,"789 Main St, Anytown, USA"
391,Employee 391,43,104062.65,Marketing,Non-binary,18,Bachelor's,4.5,2013-07-14,Engineer Marketing,David Brown,718-207-8249,employee391@example.com,"456 Main St, Anytown, USA"
392,Employee 392,47,77665.32,Engineering,Non-binary,25,Master's,5.0,2018-09-24,Manager Engineering,Bob Johnson,978-630-2778,employee392@example.com,"1234 Main St, Anytown, USA"
393,Employee 393,32,93821.06,HR,Non-binary,17,Bachelor's,5.0,2015-11-05,Coordinator HR,Jane Smith,515-797-9286,employee393@example.com,"789 Main St, Anytown, USA"
394,Employee 394,44,58844.55,Sales,Male,15,Associate's,4.5,2021-10-22,Manager Sales,David Brown,797-750-8945,employee394@example.com,"456 Main St, Anytown, USA"
395,Employee 395,24,77770.43,Marketing,Male,16,Bachelor's,4.5,2010-11-17,Engineer Marketing,Bob Johnson,223-586-2544,employee395@example.com,"101 Main St, Anytown, USA"
396,Employee 396,47,41260.1,Sales,Male,28,Associate's,3.0,2021-09-27,Analyst Sales,Bob Johnson,924-734-4628,employee396@example.com,"567 Main St, Anytown, USA"
397,Employee 397,28,66472.87,HR,Non-binary,14,Master's,4.5,2013-04-07,Assistant HR,Emily Williams,965-699-3541,employee397@example.com,"123 Main St, Anytown, USA"
398,Employee 398,41,92230.04,HR,Female,19,PhD,4.5,2021-09-18,Manager HR,Emily Williams,891-762-8234,employee398@example.com,"5678 Main St, Anytown, USA"
399,Employee 399,55,45034.05,Finance,Male,4,Associate's,5.0,2010-11-04,Director Finance,Bob Johnson,875-941-4609,employee399@example.com,"101 Main St, Anytown, USA"
400,Employee 400,52,55372.3,Sales,Non-binary,15,Master's,4.5,2018-05-08,Director Sales,Bob Johnson,391-921-5716,employee400@example.com,"101 Main St, Anytown, USA"
401,Employee 401,34,99831.25,Sales,Non-binary,2,High School,5.0,2011-11-25,Engineer Sales,Emily Williams,552-234-8004,employee401@example.com,"234 Main St, Anytown, USA"
402,Employee 402,29,78335.57,Sales,Female,26,Master's,3.0,2013-01-01,Director Sales,David Brown,117-836-2472,employee402@example.com,"890 Main St, Anytown, USA"
403,Employee 403,60,60107.62,HR,Non-binary,26,Master's,4.5,2017-07-25,Analyst HR,Jane Smith,145-412-1457,employee403@example.com,"123 Main St, Anytown, USA"
404,Employee 404,32,78330.25,HR,Non-binary,29,High School,4.0,2018-09-23,Analyst HR,Jane Smith,594-798-3711,employee404@example.com,"567 Main St, Anytown, USA"
405,Employee 405,56,74164.6,Finance,Male,16,PhD,3.5,2023-02-21,Manager Finance,Bob Johnson,371-512-7390,employee405@example.com,"567 Main St, Anytown, USA"
406,Employee 406,38,117487.29,Engineering,Female,19,Master's,4.5,2019-10-02,Director Engineering,David Brown,403-905-2854,employee406@example.com,"678 Main St, Anytown, USA"
407,Employee 407,24,70898.59,Marketing,Non-binary,15,Master's,4.0,2014-02-05,Director Marketing,Jane Smith,613-262-5302,employee407@example.com,"5678 Main St, Anytown, USA"
408,Employee 408,54,71353.57,Sales,Female,22,PhD,5.0,2012-05-24,Manager Sales,Bob Johnson,656-680-4211,employee408@example.com,"901 Main St, Anytown, USA"
409,Employee 409,23,109620.49,HR,Female,1,High School,5.0,2013-03-15,Coordinator HR,Jane Smith,655-470-4332,employee409@example.com,"456 Main St, Anytown, USA"
410,Employee 410,53,57335.65,Engineering,Female,2,PhD,4.0,2010-09-21,Engineer Engineering,John Doe,590-571-8356,employee410@example.com,"567 Main St, Anytown, USA"
411,Employee 411,61,96093.41,Sales,Male,14,High School,5.0,2010-07-09,Director Sales,John Doe,688-508-3468,employee411@example.com,"901 Main St, Anytown, USA"
412,Employee 412,39,98457.4,Finance,Non-binary,4,Bachelor's,5.0,2022-06-10,Assistant Finance,Bob Johnson,874-966-3700,employee412@example.com,"1234 Main St, Anytown, USA"
413,Employee 413,45,49503.12,Finance,Non-binary,6,Bachelor's,4.0,2013-09-10,Analyst Finance,Bob Johnson,670-138-5613,employee413@example.com,"2345 Main St, Anytown, USA"
414,Employee 414,55,112712.73,HR,Male,19,Bachelor's,3.0,2023-10-19,Analyst HR,Bob Johnson,358-478-3438,employee414@example.com,"1234 Main St, Anytown, USA"
415,Employee 415,47,63304.86,Finance,Male,28,High School,4.0,2016-06-24,Director Finance,John Doe,705-951-1683,employee415@example.com,"123 Main St, Anytown, USA"
416,Employee 416,22,40010.98,HR,Male,16,Associate's,3.0,2023-09-27,Coordinator HR,Jane Smith,499-459-5705,employee416@example.com,"123 Main St, Anytown, USA"
417,Employee 417,45,106294.11,HR,Female,3,Associate's,4.0,2015-11-14,Coordinator HR,John Doe,892-303-9517,employee417@example.com,"678 Main St, Anytown, USA"
418,Employee 418,54,61846.09,Engineering,Male,12,High School,4.5,2013-06-11,Analyst Engineering,John Doe,327-267-7591,employee418@example.com,"234 Main St, Anytown, USA"
419,Employee 419,43,46363.69,Engineering,Non-binary,6,Master's,4.5,2021-05-06,Engineer Engineering,David Brown,257-498-8952,employee419@example.com,"456 Main St, Anytown, USA"
420,Employee 420,23,83486.83,Finance,Non-binary,10,Associate's,3.5,2013-06-06,Coordinator Finance,Bob Johnson,198-985-2832,employee420@example.com,"5678 Main St, Anytown, USA"
421,Employee 421,47,112759.07,HR,Non-binary,30,High School,3.5,2017-11-08,Manager HR,John Doe,954-494-8939,employee421@example.com,"789 Main St, Anytown, USA"
422,Employee 422,40,47658.57,Marketing,Male,28,Bachelor's,4.5,2014-11-05,Manager Marketing,John Doe,145-613-9586,employee422@example.com,"101 Main St, Anytown, USA"
423,Employee 423,57,48791.32,Finance,Non-binary,4,High School,4.0,2013-10-06,Engineer Finance,David Brown,690-562-4815,employee423@example.com,"901 Main St, Anytown, USA"
424,Employee 424,56,90163.9,Marketing,Male,23,Master's,3.5,2016-06-07,Manager Marketing,Emily Williams,671-146-1868,employee424@example.com,"1234 Main St, Anytown, USA"
425,Employee 425,59,106267.89,HR,Male,18,Associate's,5.0,2021-03-10,Coordinator HR,Bob Johnson,704-837-9086,employee425@example.com,"2345 Main St, Anytown, USA"
426,Employee 426,53,45629.85,Engineering,Male,12,Associate's,4.5,2021-05-03,Coordinator Engineering,Jane Smith,525-311-2442,employee426@example.com,"678 Main St, Anytown, USA"
427,Employee 427,26,92141.69,HR,Non-binary,19,Master's,3.5,2017-03-20,Engineer HR,Jane Smith,252-109-2038,employee427@example.com,"901 Main St, Anytown, USA"
428,Employee 428,47,81984.39,Finance,Female,2,Bachelor's,3.0,2022-04-22,Engineer Finance,David Brown,272-561-3110,employee428@example.com,"890 Main St, Anytown, USA"
429,Employee 429,32,97422.87,Sales,Non-binary,12,Bachelor's,4.5,2019-04-24,Analyst Sales,Jane Smith,481-852-7537,employee429@example.com,"456 Main St, Anytown, USA"
430,Employee 430,32,93840.01,HR,Non-binary,17,Bachelor's,3.5,2017-06-24,Assistant HR,Bob Johnson,740-146-7759,employee430@example.com,"567 Main St, Anytown, USA"
431,Employee 431,42,74220.55,Marketing,Non-binary,15,PhD,4.0,2019-10-17,Manager Marketing,Jane Smith,103-765-7434,employee431@example.com,"123 Main St, Anytown, USA"
432,Employee 432,23,43495.41,HR,Non-binary,4,Associate's,4.0,2012-11-27,Analyst HR,David Brown,839-979-9916,employee432@example.com,"901 Main St, Anytown, USA"
433,Employee 433,42,55324.78,Marketing,Female,0,High School,5.0,2021-12-16,Director Marketing,Emily Williams,179-656-6159,employee433@example.com,"2345 Main St, Anytown, USA"
434,Employee 434,36,117004.41,Sales,Male,25,PhD,4.0,2020-05-03,Assistant Sales,David Brown,948-650-3608,employee434@example.com,"2345 Main St, Anytown, USA"
435,Employee 435,38,46084.39,Finance,Non-binary,28,Bachelor's,3.0,2011-12-02,Assistant Finance,John Doe,774-887-1672,employee435@example.com,"901 Main St, Anytown, USA"
436,Employee 436,58,95190.65,Finance,Female,20,Associate's,4.5,2015-03-22,Manager Finance,John Doe,358-382-8420,employee436@example.com,"567 Main St, Anytown, USA"
437,Employee 437,62,85998.11,HR,Female,25,High School,5.0,2013-09-24,Manager HR,Bob Johnson,400-222-6930,employee437@example.com,"890 Main St, Anytown, USA"
438,Employee 438,45,42737.06,Finance,Male,4,High School,4.0,2020-08-13,Manager Finance,John Doe,139-338-9857,employee438@example.com,"789 Main St, Anytown, USA"
439,Employee 439,41,70217.07,HR,Female,8,PhD,4.0,2011-04-22,Manager HR,Emily Williams,411-166-8501,employee439@example.com,"1234 Main St, Anytown, USA"
440,Employee 440,52,74147.29,Marketing,Female,14,Bachelor's,3.0,2018-10-26,Assistant Marketing,John Doe,462-111-3483,employee440@example.com,"901 Main St, Anytown, USA"
441,Employee 441,61,102891.38,Marketing,Male,2,Master's,4.0,2013-02-22,Engineer Marketing,John Doe,307-243-1887,employee441@example.com,"901 Main St, Anytown, USA"
442,Employee 442,50,83995.88,Sales,Non-binary,21,Bachelor's,4.5,2012-04-24,Analyst Sales,John Doe,700-983-1896,employee442@example.com,"2345 Main St, Anytown, USA"
443,Employee 443,34,114807.62,Sales,Female,4,Associate's,3.0,2018-10-16,Analyst Sales,Jane Smith,869-975-4719,employee443@example.com,"2345 Main St, Anytown, USA"
444,Employee 444,58,59982.78,Engineering,Male,20,High School,3.5,2019-01-20,Manager Engineering,Bob Johnson,960-765-7911,employee444@example.com,"789 Main St, Anytown, USA"
445,Employee 445,41,45032.97,Engineering,Non-binary,1,Master's,4.0,2023-01-07,Assistant Engineering,David Brown,985-960-2896,employee445@example.com,"101 Main St, Anytown, USA"
446,Employee 446,30,115469.48,HR,Male,16,High School,4.0,2018-08-22,Analyst HR,Emily Williams,458-495-2854,employee446@example.com,"901 Main St, Anytown, USA"
447,Employee 447,28,53949.07,Sales,Male,2,Associate's,3.0,2023-10-09,Engineer Sales,Emily Williams,246-635-8780,employee447@example.com,"789 Main St, Anytown, USA"
448,Employee 448,55,83167.51,Finance,Female,27,High School,4.5,2013-10-21,Engineer Finance,David Brown,859-981-4180,employee448@example.com,"234 Main St, Anytown, USA"
449,Employee 449,52,60650.73,Finance,Female,3,Master's,4.0,2016-08-02,Analyst Finance,Jane Smith,978-694-5180,employee449@example.com,"789 Main St, Anytown, USA"
450,Employee 450,54,58093.15,Engineering,Male,14,Master's,3.0,2022-09-16,Director Engineering,Emily Williams,776-398-7499,employee450@example.com,"456 Main St, Anytown, USA"
451,Employee 451,43,65887.22,Sales,Non-binary,17,Master's,4.5,2020-02-08,Coordinator Sales,Jane Smith,171-492-8747,employee451@example.com,"890 Main St, Anytown, USA"
452,Employee 452,45,56208.95,HR,Female,5,High School,5.0,2021-08-20,Coordinator HR,Emily Williams,645-756-4550,employee452@example.com,"678 Main St, Anytown, USA"
453,Employee 453,46,49533.54,Marketing,Female,27,High School,5.0,2018-02-17,Manager Marketing,Bob Johnson,185-188-3558,employee453@example.com,"2345 Main St, Anytown, USA"
454,Employee 454,52,70951.88,Marketing,Female,21,PhD,4.0,2019-03-10,Manager Marketing,Bob Johnson,272-832-8643,employee454@example.com,"678 Main St, Anytown, USA"
455,Employee 455,25,46540.3,Finance,Non-binary,25,Bachelor's,3.0,2020-02-10,Engineer Finance,Emily Williams,926-234-6284,employee455@example.com,"234 Main St, Anytown, USA"
456,Employee 456,57,52922.24,HR,Female,15,Associate's,4.5,2014-03-04,Engineer HR,Bob Johnson,140-923-8985,employee456@example.com,"456 Main St, Anytown, USA"
457,Employee 457,57,119731.28,Finance,Non-binary,20,Master's,4.0,2011-09-24,Engineer Finance,John Doe,613-248-3169,employee457@example.com,"5678 Main St, Anytown, USA"
458,Employee 458,35,97497.98,HR,Non-binary,7,Associate's,4.0,2010-12-03,Director HR,Bob Johnson,660-950-5042,employee458@example.com,"789 Main St, Anytown, USA"
459,Employee 459,56,48826.4,HR,Male,29,Bachelor's,4.5,2012-12-14,Assistant HR,Emily Williams,428-434-5078,employee459@example.com,"5678 Main St, Anytown, USA"
460,Employee 460,26,93034.62,Engineering,Male,27,Associate's,3.5,2015-12-28,Engineer Engineering,Jane Smith,694-399-1015,employee460@example.com,"123 Main St, Anytown, USA"
461,Employee 461,61,51216.02,HR,Non-binary,11,Bachelor's,3.5,2017-12-08,Manager HR,John Doe,275-848-5013,employee461@example.com,"5678 Main St, Anytown, USA"
462,Employee 462,59,106944.53,HR,Non-binary,29,PhD,4.5,2010-11-02,Engineer HR,Bob Johnson,115-934-9138,employee462@example.com,"456 Main St, Anytown, USA"
463,Employee 463,21,113559.99,Engineering,Male,0,Master's,4.5,2010-06-20,Analyst Engineering,Jane Smith,237-912-4898,employee463@example.com,"101 Main St, Anytown, USA"
464,Employee 464,57,53702.67,HR,Non-binary,13,High School,4.5,2014-07-04,Director HR,John Doe,288-797-8146,employee464@example.com,"5678 Main St, Anytown, USA"
465,Employee 465,24,78919.0,Marketing,Male,12,PhD,3.5,2017-02-14,Coordinator Marketing,Bob Johnson,577-412-8899,employee465@example.com,"456 Main St, Anytown, USA"
466,Employee 466,58,59769.25,Marketing,Male,1,Master's,4.5,2022-02-22,Manager Marketing,Bob Johnson,372-315-4504,employee466@example.com,"5678 Main St, Anytown, USA"
467,Employee 467,42,65061.21,Sales,Male,15,Bachelor's,3.5,2016-02-17,Engineer Sales,David Brown,749-696-3914,employee467@example.com,"234 Main St, Anytown, USA"
468,Employee 468,53,87155.11,Finance,Non-binary,24,High School,4.5,2017-03-01,Engineer Finance,Emily Williams,903-964-9483,employee468@example.com,"890 Main St, Anytown, USA"
469,Employee 469,28,60658.91,Finance,Female,14,PhD,4.5,2016-06-26,Engineer Finance,John Doe,216-243-5082,employee469@example.com,"567 Main St, Anytown, USA"
470,Employee 470,56,60188.22,Finance,Non-binary,18,Bachelor's,3.5,2016-07-07,Analyst Finance,Emily Williams,775-985-8565,employee470@example.com,"789 Main St, Anytown, USA"
471,Employee 471,38,71577.32,Sales,Non-binary,2,High School,4.0,2023-07-16,Engineer Sales,Bob Johnson,520-282-6639,employee471@example.com,"5678 Main St, Anytown, USA"
472,Employee 472,62,69486.62,Sales,Non-binary,21,Master's,5.0,2011-05-17,Engineer Sales,John Doe,519-533-9879,employee472@example.com,"101 Main St, Anytown, USA"
473,Employee 473,61,55252.12,Engineering,Female,3,Associate's,5.0,2023-11-10,Manager Engineering,John Doe,337-671-4612,employee473@example.com,"1234 Main St, Anytown, USA"
474,Employee 474,21,106079.24,Finance,Female,7,Bachelor's,4.5,2016-02-18,Engineer Finance,Bob Johnson,850-805-1759,employee474@example.com,"789 Main St, Anytown, USA"
475,Employee 475,43,64101.78,Finance,Female,19,Master's,3.0,2023-11-10,Manager Finance,Bob Johnson,342-512-2056,employee475@example.com,"101 Main St, Anytown, USA"
476,Employee 476,45,50133.79,HR,Female,17,Master's,5.0,2010-01-09,Manager HR,Jane Smith,162-221-1083,employee476@example.com,"1234 Main St, Anytown, USA"
477,Employee 477,62,49088.18,Marketing,Female,2,Associate's,4.0,2021-09-01,Engineer Marketing,Bob Johnson,893-491-1478,employee477@example.com,"901 Main St, Anytown, USA"
478,Employee 478,53,80604.11,Sales,Male,15,Associate's,5.0,2013-04-10,Engineer Sales,Jane Smith,960-459-1375,employee478@example.com,"234 Main St, Anytown, USA"
479,Employee 479,34,57090.21,Sales,Non-binary,1,Master's,3.0,2016-01-28,Manager Sales,Emily Williams,795-219-4686,employee479@example.com,"5678 Main St, Anytown, USA"
480,Employee 480,64,51173.45,Finance,Non-binary,19,Associate's,3.5,2023-11-12,Analyst Finance,David Brown,496-715-6718,employee480@example.com,"234 Main St, Anytown, USA"
481,Employee 481,47,73334.1,Marketing,Non-binary,29,Master's,3.0,2021-08-01,Assistant Marketing,Jane Smith,455-854-2018,employee481@example.com,"789 Main St, Anytown, USA"
482,Employee 482,47,57633.66,HR,Non-binary,20,Bachelor's,3.5,2023-08-08,Assistant HR,David Brown,734-589-6188,employee482@example.com,"901 Main St, Anytown, USA"
